arm,axis,x,codebleu,syntax,seed
A,data,1000,0.175496754799841,0.0,0
B,data,1000,0.07379783442297567,0.0,0
A,data,1000,0.18253442280376203,0.0,1
B,data,1000,0.1185054896259944,0.0,1
A,data,5000,0.35438452586561314,0.34759358288770054,0
B,data,5000,0.28991818161322747,0.02459893048128342,0
A,data,5000,0.35357071713117727,0.36424751718869364,1
B,data,5000,0.2826227295403726,0.030252100840336135,1
A,data,15000,0.4187730950963191,0.7336898395721925,0
B,data,15000,0.3825467818798668,0.5093964858670741,0
A,data,15000,0.4207690496571665,0.7210084033613445,1
B,data,15000,0.3905416989194194,0.5905271199388846,1
A,ptcompute,1,0.4688321102966364,0.8965622612681436,42
A,ptcompute,3,0.463495724198234,0.9040488922841864,42
A,data,52364,0.4769922510731756,0.9168831168831169,42
B,data,52364,0.4780970431656911,0.8832696715049656,0
B,data,52364,0.4761824343804631,0.8782276546982429,1
A,ptcompute,10,0.4769922510731756,0.9168831168831169,42
